structure,xtb-mod-gau-sp_SPE_diff,xtb-mod-gau-sp_ForceRMS_diff,xtb-mod-gau-sp_ForceMax_diff,xtb-mod-gau-sp_EHOMO_diff,xtb-mod-gau-sp_ELUMO_diff,xtb-mod-gau-sp_charge-1_diff,xtb-mod-gau-sp_charge-2_diff,xtb-mod-gau-sp_charge-4_diff,xtb-mod-gau-sp_charge-8_diff,xtb-mod-gau-sp_charge-9_diff,xtb-mod-gau-sp_charge-11_diff,xtb-mod-gau-sp_charge-12_diff,xtb-mod-gau-sp_charge-13_diff
Xu08-1a-2i,-0.008801,0.000287,0.006717,0.002128,-0.000944,0.038652,-0.062559,0.033739,0.042124,0.006981,0.016585,-0.011321,0.00076
Xu08-1a-2j,-0.009494,0.000301,0.006217,-0.004007,0.000899,0.026041,-0.049321,0.027567,0.045581,0.008575,0.01555,-0.014477,0.000199
Xu08-1a-2m,-0.010012,0.000279,0.006691,-0.005749,9.5e-05,0.050528,-0.07042,0.030378,0.032926,0.011023,0.015733,-0.009756,0.000662
Xu08-1c-2a,-0.009971,0.000288,0.007484,-0.00287,-0.003059,0.064609,-0.070203,0.029529,0.035963,0.008715,0.016076,-0.005759,0.002231
Xu08-1g-2e,-0.009289,0.000268,0.0074,0.000684,-0.002874,0.099681,-0.076573,0.025273,0.032949,0.007857,0.01561,-0.011651,-0.00089
Xu08-1g-2l,-0.009489,0.000285,0.007267,0.000632,0.000123,0.087145,-0.074463,0.026615,0.03599,0.00762,0.015493,-0.011917,-0.000451
Xu08-1g-2m,-0.008971,0.000289,0.007347,-0.006112,-0.000486,0.080444,-0.075692,0.023399,0.027166,0.009912,0.014879,-0.010405,-0.002419
Xu08-5a-2a,-0.004396,0.000141,0.006841,-0.003678,-0.005013,0.151767,-0.060602,0.012227,0.034267,0.009455,0.014858,-0.021628,0.024212
Xu08-5b-2a,-0.005427,0.000115,0.007247,-0.00417,-0.004925,0.156758,-0.068111,0.015511,0.027278,0.016255,0.014526,-0.025508,0.027714
Xu08-5b-2l,-0.005879,0.00013,0.006526,-0.001112,-0.001463,0.156981,-0.067165,0.013952,0.030051,0.012932,0.014608,-0.025552,0.02769
Xu08-5b-2m,-0.005724,0.000129,0.007415,-0.006705,-0.002249,0.141862,-0.066642,0.015754,0.020876,0.016342,0.013593,-0.025981,0.027588
Xu08-7a-2a,-0.007406,0.000289,0.008858,0.001071,-0.002219,0.056983,-0.091958,0.055626,0.016177,0.025363,0.016773,-0.014153,-0.008272
Xu09-1a-2a,-0.008022,0.000298,0.006882,-0.002455,-0.003038,0.051584,-0.068411,0.029634,0.039301,0.008746,0.021031,-0.011813,0.001929
Xu09-7a-2a,-0.009471,0.000266,0.008136,-0.001139,-0.001485,0.067324,-0.087598,0.041295,0.022764,0.029544,0.020443,-0.024971,-0.009485
Xu09-7a-2g,-0.007719,0.000255,0.006285,0.00461,-0.001057,0.072657,-0.085896,0.037875,0.023114,0.023528,0.019841,-0.023961,-0.008893
Xu09-7a-2j,-0.009837,0.000196,0.00724,-0.004322,-0.001738,0.079118,-0.068808,0.010889,0.020801,0.021926,0.020288,-0.023905,-0.001198
Xu09-7a-2l,-0.008219,0.000298,0.006488,0.003045,-0.001019,0.070767,-0.080434,0.036446,0.022386,0.023373,0.0195,-0.022978,-0.009079
Xu09-7a-2m,-0.008047,0.000284,0.007179,-0.004511,-0.001449,0.039862,-0.076582,0.038051,0.023366,0.025628,0.021,-0.023535,-0.010599
Xu09-7a-2p,-0.009316,0.000264,0.007789,0.004335,-0.00148,0.068879,-0.087259,0.041416,0.022764,0.025196,0.020357,-0.023493,-0.0089
